,React1,React2,React3,Prod1,Prod2,Prod3,Prod4,Type,Form,Nrate,A_taquet18,B_taquet18,C_taquet18,A_taquet18_2,B_taquet18_2,C_taquet18_2,Tmin_taquet18,Tmax_taquet18,Tmin_taquet18_2,Tmax_taquet18_2
2583,NH+,C2H,-,N,C2H2+,-,-,4,4,1,1.0,1.61e-09,1.34,1.0,1.61e-09,1.34,0.0,133.0,0.0,134.0
2584,NH+,C2H,-,N,C2H2+,-,-,4,5,2,1.0,1.61e-09,1.34,1.0,1.61e-09,1.34,133.0,800.0,134.0,800.0
