Species,No,Species,+-,H,D,He,C,N,O,Si,S,Fe,Na,Mg,Cl,P,F,Xinit
SiH,16.0,SiH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SiH,16.0,SiH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
